R;ADC;T
1094.54;397;115.17;
1100.06;399;116.02;
1097.30;398;115.59;
1097.30;398;115.59;
1102.81;400;116.45;
1100.06;399;116.02;
1102.81;400;116.45;
1100.06;399;116.02;
1102.81;400;116.45;
1111.08;403;117.72;
1108.33;402;117.29;
1108.33;402;117.29;
1105.57;401;116.87;
1108.33;402;117.29;
1108.33;402;117.29;
1113.84;404;118.14;
1111.08;403;117.72;
1116.60;405;118.56;
1116.60;405;118.56;
1113.84;404;118.14;
1119.35;406;118.98;
1116.60;405;118.56;
1116.60;405;118.56;
1119.35;406;118.98;
1113.84;404;118.14;
1122.11;407;119.40;
1119.35;406;118.98;
1119.35;406;118.98;
1124.87;408;119.82;
1119.35;406;118.98;
1124.87;408;119.82;
1122.11;407;119.40;
1122.11;407;119.40;
1130.38;410;120.66;
1124.87;408;119.82;
1127.63;409;120.24;
1135.90;412;121.50;
1127.63;409;120.24;
1127.63;409;120.24;
1133.14;411;121.08;
1133.14;411;121.08;
1138.65;413;121.92;
1133.14;411;121.08;
1135.90;412;121.50;
1138.65;413;121.92;
1135.90;412;121.50;
1141.41;414;122.33;
1138.65;413;121.92;
1138.65;413;121.92;
1146.92;416;123.16;
1141.41;414;122.33;
1144.17;415;122.75;
1146.92;416;123.16;
1149.68;417;123.58;
1152.44;418;123.99;
1149.68;417;123.58;
1149.68;417;123.58;
1155.20;419;124.41;
1149.68;417;123.58;
1152.44;418;123.99;
1157.95;420;124.82;
1152.44;418;123.99;
1155.20;419;124.41;
1155.20;419;124.41;
1155.20;419;124.41;
1163.47;422;125.65;
1160.71;421;125.23;
1160.71;421;125.23;
1163.47;422;125.65;
1163.47;422;125.65;
1171.74;425;126.88;
1163.47;422;125.65;
1166.22;423;126.06;
1166.22;423;126.06;
1166.22;423;126.06;
1177.25;427;127.70;
1171.74;425;126.88;
1171.74;425;126.88;
1174.49;426;127.29;
1174.49;426;127.29;
1177.25;427;127.70;
1185.52;430;128.92;
1180.01;428;128.10;
1182.77;429;128.51;
1180.01;428;128.10;
1182.77;429;128.51;
1188.28;431;129.33;
1180.01;428;128.10;
1182.77;429;128.51;
1188.28;431;129.33;
1185.52;430;128.92;
1191.04;432;129.73;
1185.52;430;128.92;
1185.52;430;128.92;
1191.04;432;129.73;
1191.04;432;129.73;
1193.79;433;130.14;
1191.04;432;129.73;
1191.04;432;129.73;
1196.55;434;130.54;
1202.07;436;131.35;
1199.31;435;130.95;
1204.82;437;131.76;
1196.55;434;130.54;
1199.31;435;130.95;
1204.82;437;131.76;
1202.07;436;131.35;
1202.07;436;131.35;
1202.07;436;131.35;
1207.58;438;132.16;
1210.34;439;132.56;
1207.58;438;132.16;
1207.58;438;132.16;
1207.58;438;132.16;
1207.58;438;132.16;
1213.09;440;132.96;
1210.34;439;132.56;
1215.85;441;133.37;
1215.85;441;133.37;
1215.85;441;133.37;
1215.85;441;133.37;
1218.61;442;133.77;
1218.61;442;133.77;
1215.85;441;133.37;
1215.85;441;133.37;
1221.36;443;134.17;
1224.12;444;134.57;
1221.36;443;134.17;
1218.61;442;133.77;
